distrito,suma
"ALTO SELVA ALEGRE",7457.639999999999
AREQUIPA,4634.010000000002
CAYMA,1322.8400000000001
"CERRO COLORADO",4165.58
CHALA,15
CHARACATO,53.49
"JACOBO HUNTER",2935.739999999999
"JOSE LUIS BUSTAMANTE Y RIVERO",5448.57
"LA JOYA",69.03
MAJES,15.4
"MARIANO MELGAR",1365.3700000000001
MIRAFLORES,2963.7999999999997
PAUCARPATA,3049.5700000000015
SABANDIA,222.92
SACHACA,473.33
"SAN MARTIN DE PORRES",29.73
SOCABAYA,2377.17
TIABAYA,284.5999999999999
UCHUMAYO,86.57000000000001
YANAHUARA,1041.7000000000003
YURA,169.45
