distrito,suma
"ALTO SELVA ALEGRE",7117.72
AREQUIPA,9811.439999999999
CAYMA,2815.83
"CERRO COLORADO",5943.5
CHARACATO,60
"JACOBO HUNTER",2523.99
"JOSE LUIS BUSTAMANTE Y RIVERO",4091.0699999999997
MAJES,30
"MARIANO MELGAR",902.6
MIRAFLORES,9820.91
PAUCARPATA,6092.09
SABANDIA,369.3
SACHACA,2367.51
SOCABAYA,7609.83
TIABAYA,30
UCHUMAYO,648.76
YANAHUARA,2676
