distrito,suma
"ALTO SELVA ALEGRE",4306.59
AREQUIPA,11442.78
CAYMA,2632.7
"CERRO COLORADO",12114.509999999998
CHARACATO,15
CHIGUATA,5
"JACOBO HUNTER",630
"JOSE LUIS BUSTAMANTE Y RIVERO",3654.4799999999996
"MARIANO MELGAR",2673.8399999999997
MIRAFLORES,2066
PAUCARPATA,5360
SABANDIA,61.5
SACHACA,1011.8399999999999
SOCABAYA,4581.02
TIABAYA,1334.53
UCHUMAYO,60
YANAHUARA,3346.8599999999997
YURA,15
