distrito,suma
"ALTO SELVA ALEGRE",6294.780000000001
AREQUIPA,6827.5
CAYMA,2045.48
"CERRO COLORADO",4610.3
CHARACATO,15
CHIGUATA,15.39
"JACOBO HUNTER",1015.1799999999998
"JOSE LUIS BUSTAMANTE Y RIVERO",4622.23
"LA JOYA",15
"MARIANO MELGAR",1094.36
MIRAFLORES,3761.19
PAUCARPATA,2029.67
SABANDIA,60
SACHACA,120.17
SOCABAYA,1751.15
TIABAYA,15
UCHUMAYO,30
YANAHUARA,2955.8799999999997
YURA,15
