distrito,suma
"ALTO SELVA ALEGRE",5358.92
AREQUIPA,3623.2
CAYMA,315.03
"CERRO COLORADO",5957.99
CHARACATO,495.04
"JACOBO HUNTER",270.09000000000003
"JOSE LUIS BUSTAMANTE Y RIVERO",3675.27
"MARIANO MELGAR",1202.3799999999999
MIRAFLORES,2076.8599999999997
PAUCARPATA,7278.54
SABANDIA,30
SACHACA,580
SOCABAYA,2087.7799999999997
TIABAYA,1245
UCHUMAYO,164.93
YANAHUARA,2386.76
YURA,15
