distrito,suma
"ALTO SELVA ALEGRE",63093.03
AREQUIPA,29449.63
CAYMA,3038
"CERRO COLORADO",20967.71
CHIGUATA,100
"JACOBO HUNTER",1105
"JOSE LUIS BUSTAMANTE Y RIVERO",5151.58
"MARIANO MELGAR",3055
MIRAFLORES,23650
PAUCARPATA,5346.44
SACHACA,400
SOCABAYA,2264
UCHUMAYO,1900
YANAHUARA,3920
