distrito,suma
"ALTO SELVA ALEGRE",29722.79
AREQUIPA,8142
CAYMA,2530
"CERRO COLORADO",110064.41
CHIGUATA,305
"JACOBO HUNTER",3176.77
"JOSE LUIS BUSTAMANTE Y RIVERO",24885.54
"MARIANO MELGAR",2775
MIRAFLORES,5024.960000000001
PAUCARPATA,17514.37
SACHACA,710
SOCABAYA,10067.21
UCHUMAYO,1650
