distrito,suma
"ALTO SELVA ALEGRE",30495.4
AREQUIPA,29002.78
CAYMA,25696.64
"CERRO COLORADO",9206.46
"JACOBO HUNTER",475
"JOSE LUIS BUSTAMANTE Y RIVERO",5658.9400000000005
"MARIANO MELGAR",1240.48
MIRAFLORES,17125.7
MOQUEGUA,165
PAUCARPATA,7857.179999999999
SACHACA,14125.7
SOCABAYA,18868.4
YANAHUARA,9148.46
YURA,3060
