distrito,suma
"ALTO SELVA ALEGRE",28131.87
AREQUIPA,73572.98999999999
CAYMA,64624.71
"CERRO COLORADO",16497.67
"JACOBO HUNTER",2354.52
"JOSE LUIS BUSTAMANTE Y RIVERO",10154.619999999999
"MARIANO MELGAR",4546.490000000001
MIRAFLORES,9233.400000000001
PAUCARPATA,37795.35
QUEQUEÐA,516.79
SACHACA,84108
SOCABAYA,11343.68
SURQUILLO,50
UCHUMAYO,800
YANAHUARA,2050
