distrito,suma
"ALTO SELVA ALEGRE",37604
AREQUIPA,32623.629999999997
CAYMA,12276.52
"CERRO COLORADO",20904.79
CHIGUATA,5
"JACOBO HUNTER",42760
"JOSE LUIS BUSTAMANTE Y RIVERO",18739.09
"MARIANO MELGAR",2970
MIRAFLORES,3122.27
PAUCARPATA,7016.280000000001
SACHACA,465
SOCABAYA,2428.27
UCHUMAYO,1700
YANAHUARA,2492.4
