distrito,suma
"ALTO SELVA ALEGRE",11841.25
AREQUIPA,4168.2
CAYMA,115
"CERRO COLORADO",11945.46
"JACOBO HUNTER",455
"JOSE LUIS BUSTAMANTE Y RIVERO",1800
"MARIANO MELGAR",1051.67
MIRAFLORES,1000
MOLLENDO,90000
PAUCARPATA,3402.8
SACHACA,300
SOCABAYA,8210
UCHUMAYO,2400
YANAHUARA,12570
