distrito,suma
"ALTO SELVA ALEGRE",23643
AREQUIPA,15843.929999999998
CAYMA,3925
"CERRO COLORADO",20170
CHARACATO,1500
"JACOBO HUNTER",6040.5
"JOSE LUIS BUSTAMANTE Y RIVERO",10762.1
"MARIANO MELGAR",5068
MIRAFLORES,5012
MOQUEGUA,176
PAUCARPATA,13379
SACHACA,590
SOCABAYA,8213.4
UCHUMAYO,2220
YANAHUARA,760
YURA,900
