distrito,suma
"ALTO SELVA ALEGRE",24906.059999999998
AREQUIPA,17564.09
CAYMA,3800
"CERRO COLORADO",46055
CHIGUATA,5
"JACOBO HUNTER",1650
"JOSE LUIS BUSTAMANTE Y RIVERO",6600
"MARIANO MELGAR",2012
MIRAFLORES,3861
PAUCARPATA,4261.5
SACHACA,6500
SOCABAYA,1137
UCHUMAYO,375
YANAHUARA,1450
