distrito,suma
"ALTO SELVA ALEGRE",23625.690000000006
AREQUIPA,41807.38
CAYMA,7291.899999999999
"CERRO COLORADO",21593.16
"JACOBO HUNTER",6813.300000000001
"JOSE LUIS BUSTAMANTE Y RIVERO",42740.37
"LA JOYA",840.1600000000001
"MARIANO MELGAR",14818.179999999998
MIRAFLORES,12328.839999999998
PAUCARPATA,23138.089999999997
SABANDIA,3755.91
SACHACA,2917.0299999999997
"SAN MARTIN DE PORRES",632.5899999999999
SOCABAYA,17986.959999999995
TIABAYA,6404.210000000001
UCHUMAYO,854.6
YANAHUARA,9639.22
YURA,845
