distrito,suma
"ALTO SELVA ALEGRE",46929.700000000004
AREQUIPA,85504.67999999995
CAYMA,7448.49
"CERRO COLORADO",26989.590000000007
CHARACATO,399.32
CHIGUATA,228.74
CHIVAY,208.7
"JACOBO HUNTER",7295.93
"JOSE LUIS BUSTAMANTE Y RIVERO",43551.850000000006
"LA JOYA",1393.8
MAJES,244.71
"MARIANO MELGAR",12228.229999999998
MIRAFLORES,32376.459999999992
PAUCARPATA,100662.53000000006
SABANDIA,698
SACHACA,6817.570000000001
SOCABAYA,19989.59
TIABAYA,624.52
UCHUMAYO,1408.1
YANAHUARA,9128.54
YURA,1343.6100000000001
