distrito,suma
"ALTO SELVA ALEGRE",43810.97000000001
AREQUIPA,60561.68999999998
CAYMA,8678.199999999999
"CERRO COLORADO",24325.789999999997
CHARACATO,542.14
CHIVAY,100
"JACOBO HUNTER",8806.390000000001
"JOSE LUIS BUSTAMANTE Y RIVERO",75214.68000000001
"LA JOYA",322.2
MAJES,130.3
"MARIANO MELGAR",8864.81
MIRAFLORES,26674.67
PAUCARPATA,23831.050000000003
SABANDIA,3002.4
SACHACA,1522.0300000000002
"SAN MARTIN DE PORRES",160
SOCABAYA,27045.47
TIABAYA,7816.42
UCHUMAYO,1190.71
YANAHUARA,14237.369999999999
YURA,641.29
