distrito,suma
"ALTO SELVA ALEGRE",32114.24
AREQUIPA,49598.3
CAYMA,6376.6799999999985
"CERRO COLORADO",15697.45
CHARACATO,415
CHIVAY,100
"JACOBO HUNTER",6552.019999999999
"JOSE LUIS BUSTAMANTE Y RIVERO",41312.270000000004
"LA JOYA",322.2
MAJES,1413.3400000000001
"MARIANO MELGAR",10160.880000000001
MIRAFLORES,23855.559999999998
PAUCARPATA,21471.51
SABANDIA,754.48
SACHACA,2427.42
"SAN MARTIN DE PORRES",542.53
SOCABAYA,20721.659999999996
TIABAYA,17476.839999999997
UCHUMAYO,2597.49
YANAHUARA,6626.43
YURA,1516.5
