distrito,suma
"ALTO SELVA ALEGRE",94748.98
AREQUIPA,37214.85
CAYMA,4500
"CERRO COLORADO",2500
"MARIANO MELGAR",500
MIRAFLORES,11000
PAUCARPATA,33692.08
SOCABAYA,96410.92
YANAHUARA,22300
