distrito,suma
"ALTO SELVA ALEGRE",51129
AREQUIPA,2370
"CERRO COLORADO",28688.18
"JOSE LUIS BUSTAMANTE Y RIVERO",1000
"MARIANO MELGAR",600
MIRAFLORES,8000
PAUCARPATA,28500
SACHACA,1194
SOCABAYA,35000
