distrito,suma
"ALTO SELVA ALEGRE",42200
AREQUIPA,85119.19
"CERRO COLORADO",2500
ILO,50000
"JOSE LUIS BUSTAMANTE Y RIVERO",93000
"MARIANO MELGAR",1000
SOCABAYA,5120.74
