distrito,suma
"ALTO SELVA ALEGRE",5694.280000000001
AREQUIPA,45000
CAYMA,7400
"CERRO COLORADO",38186.03
CHARACATO,46000
"JOSE LUIS BUSTAMANTE Y RIVERO",151338.87
"MARIANO MELGAR",1200
MIRAFLORES,4000
PAUCARPATA,848
