distrito,suma
"ALTO SELVA ALEGRE",28000
AREQUIPA,11500
CAYMA,183000
"CERRO COLORADO",55000
"JACOBO HUNTER",21198.46
"JOSE LUIS BUSTAMANTE Y RIVERO",123714.07
"MARIANO MELGAR",3000
MOQUEGUA,150000
PAUCARPATA,9000
YANAHUARA,729.81
