distrito,suma
"ALTO SELVA ALEGRE",62256.240000000005
AREQUIPA,69200
"CERRO COLORADO",68707
"JACOBO HUNTER",17571.87
"JOSE LUIS BUSTAMANTE Y RIVERO",3000
PAUCARPATA,12000
SOCABAYA,27035
