distrito,suma
"ALTO SELVA ALEGRE",37700
AREQUIPA,54111.05
CAYMA,4861.43
"CERRO COLORADO",66216.23000000001
"JOSE LUIS BUSTAMANTE Y RIVERO",5918.65
"MARIANO MELGAR",2300
MIRAFLORES,5000
PAUCARPATA,10000
SOCABAYA,99596.16
UCHUMAYO,16000
