distrito,suma
"ALTO SELVA ALEGRE",20663.739999999998
"CERRO COLORADO",5000
"JOSE LUIS BUSTAMANTE Y RIVERO",52000
"MARIANO MELGAR",8500
MIRAFLORES,2000
PAUCARPATA,66000
UCHUMAYO,16000
