Mes,Anio,NO REVOLVENTE MN,MICROEMPRESA MN,PEQUENIA EMPRESA MN,HIPOTECARIO MN,JUDICIAL MN,REFINANCIADO MN,CASTIGADO MN,NO REVOLVENTE ME,MICROEMPRESA ME,HIPOTECARIO ME,JUDICIAL ME,REFINANCIADO ME,CASTIGADO ME
Setiembre2013,other,362363.48,21845.16,0,0,7629.18,0,0,2086.85,0,346.43,0,0,0
Octubre2013,other,186357.48,35038.64,0,10448.64,1376.93,0,4747.49,463.4,0,4386.6,0,0,0
Noviembre2013,other,186411.02,19590.15,0,3970.4,0,0,0,1113.41,417.61,576,0,0,0
Diciembre2013,other,234265.61,7819.19,0,0,0,0,0,6112,0,404.48,0,0,0
Enero2014,other,166767.23,516.48,0,495.79,17112.72,0,0,7764.94,0,0,0,0,0
Febrero2014,other,306634.05,18110.05,0,7659.27,25105.04,0,0,463.22,0,0,0,0,0
Marzo2014,other,207383.72,10548.98,0,2192.7,15848.14,0,15260.2,5006.5,0,22761.44,0,0,0
Abril2014,other,195101.89,46994.59,27330.66,5902.82,8289.43,0,0,0,4713.68,0,0,0,0
Mayo2014,other,234300.36,21399.58,12468.23,0,5739.11,0,38845.52,0,0,0,0,0,0
Junio2014,other,291584.1,44598.79,11002.5,0,22058.83,0,1571.5,0,0,0,0,0,0
Julio2014,other,278759.82,68838.26,12023.6,0,2354.47,0,15528.19,2232.4,0,0,0,0,0
Agosto2014,other,222731.64,20757.38,6536.5,0,37396.9,0,8450.56,7472.14,12177.04,1763.27,0,0,0
Setiembre2014,other,289284.41,92621.96,2207.9,0,8867.3,0,7834.55,3754.45,0,0,583.2,0,0
Octubre2014,other,121089.06,45464.05,4016.99,0,11543.21,0,9320.26,56207.34,8718.52,0,0,0,0
Noviembre2014,other,277262.64,43393.79,4370.03,0,15000.68,0,4245.5,5127,0,29749.86,0,0,0
Diciembre2014,other,382323.25,3180.47,12405.65,10444,6585.08,0,1392,75521.45,0,0,0,0,0
Enero2015,other,229320.25,13545.02,24529.27,1608,839.09,0,39399.35,0,0,0,0,0,0
Febrero2015,other,186574.09,38140.5,791.27,2897.39,17965.9,0,2811.27,0,0,12152.2,35141.37,0,0
Marzo2015,other,230135.03,61916.13,0,45554.3,27199.14,0,2299.67,0,0,0,0,0,0
Abril2015,other,126616.45,97230.64,0,235,13009.2,0,10059.44,7305,3731.75,0,15270.2,0,0
Mayo2015,other,374894.66,7135.29,0,6650,18146.25,16750.95,8547.43,0,0,0,0,0,0
Junio2015,other,327330.43,17953.58,0,43617.23,13637.57,0,0,2360.33,0,0,0,0,0
Julio2015,other,275886.49,29231.17,0,2885.81,76150.99,0,629,859.12,274.9,0,0,0,0
Agosto2015,other,253416.93,54854.51,0,15561.91,11755.5,0,0,1529.88,0,2502.7,0,0,0
Setiembre2015,other,392732.71,74324.36,0,0,51964.59,0,0,0,0,14140.34,0,0,0
Octubre2015,other,269590.48,115423.27,0,0,50947.39,0,17061.64,0,0,0,0,0,0
Noviembre2015,other,213926.15,37647.3,0,0,48782.13,0,0,0,0,0,0,0,0
Diciembre2015,other,195395.64,77042.62,1179.66,0,87209.32,0,0,0,0,19776.6,363.97,0,0
